system_id,title,initials,first_name,given_name,last_name,suffix,party,department,municipality,role,gender
596494,,Z.,Zohair,Zohair,El Yassini,,VVD,,,,unknown
1033882,,C.E.,Corinne Elisabeth,Corinne,Ellemeet,,GL,,,,unknown
462356,drs.,S.R.,Sietse Rindert,Sietse,Fritsma,,PVV,,,,unknown
720941,drs.,F.W.,Frank Wybe,Frank,Futselaar,,SP,,,,unknown
708151,,L.W.D.,Leuntje Wilhelmina Digna,Lenny,Geluk-Poortvliet,,CDA,,,,unknown
251571,,K.,Karen,Karen,Gerbrands,,PVV,,,,unknown
540531,,J.L.,Jacob Lubertus,Jaco,Geurts,,CDA,,,,unknown
495404,,M.,Machiel,Machiel,de Graaf,,PVV,,,,unknown
681555,,S.J.F.,Stieneke Jannieta Femmelien,Stieneke,van der Graaf,,CU,,,,unknown
739112,ir.,H.J.,Hendrik Johannes,Rik,Grashoff,,GL,,,,unknown
130813,,D.J.G.,Dion Jean Gilbert,Dion,Graus,,PVV,,,,unknown
794864,,T.C.,Tjeerd Cornelis,Tjeerd,de Groot,,D66,,,,unknown
137441,,M.,Maarten,Maarten,Groothuizen,,D66,,,,unknown
371289,mr.,S.,Sybrand,Sybrand,van Haersma Buma,,CDA,,,,unknown
318613,,W.R.,Wybren Ridley,Wybren,van Haga,,VVD,,,,unknown
440609,,R.J.,Rudmer Jornt,Rudmer,Heerema,,VVD,,,,unknown
1044099,,P.E.,Pieter Enneüs,Pieter,Heerma,,CDA,,,,unknown
627972,mr.,L.M.J.S.,Lilian Maria Johanna Sibertha,Lilian,Helder,,PVV,,,,unknown
47488,,M.J.F.,Martijn Johanna Franciscus,Martijn,van Helvert,,CDA,,,,unknown
978883,,J.A.,Jeanine Antoinette,Jeanine,Hennis-Plasschaert,,VVD,,,,unknown
355451,drs.,S.T.M.,Sophie,Sophie,Hermans,,VVD,,,,unknown
672772,mr.,T.U.,Theo Upt,Theo,Hiddema,,FvD,,,,unknown
1008893,,H.P.M.,Hendrik Pieter Maarten,Maarten,Hijink,,SP,,,,unknown
696508,drs.,K.A.E.,Kirsten Auke Elisabeth,Kirsten,van den Hul,,PvdA,,,,unknown
534170,,R.A.A.,Rob Arnoldus Adrianus,Rob,Jetten,,D66,,,,unknown
141075,,L.W.E.,Léon Willem Evert,Léon,de Jong,,PVV,,,,unknown
927015,drs.,S.,Sadet,Sadet,Karabulut,,SP,,,,unknown
157828,,B.,Bart,Bart,van Kent,,SP,,,,unknown
783593,,J.F.,Jesse Feras,Jesse,Klaver,,GL,,,,unknown
644838,,D.A.N.,Daniel Antonius Nikola,Daniel,Koerhuis,,VVD,,,,unknown
232889,,C.J.E.,Catharina Johanna Elise,Nine,Kooiman,,SP,,,,unknown
117284,,S.M.G.,Sven Michael George,Sven,Koopmans,,VVD,,,,unknown
791648,,A.,Alexander,Alexander,Kops,,PVV,,,,unknown
870098,,S.C.,Suzanne Caroline,Suzanne,Kröger,,GL,,,,unknown
464820,,H.C.M.,Henricus Cornelis Maria,Henk,Krol,,50PLUS,,,,unknown
320209,,A.,Anne,Anne,Kuik,,CDA,,,,unknown
508593,drs.,A.H.,Attje Harma,Attje,Kuiken,,PvdA,,,,unknown
