id,title,first_name,last_name,suffix,party,municipality,role
82813,Mw.,L.,van Rossum,,SP,Gemeente Delft,Fractievoorzitter
121707,Dhr.,J.J.G.,Horssels,,Partij Hoensbroeks Belang,Gemeente Heerlen,Fractievoorzitter
133580,Mw.,M.H.M.,Klaassen,,Fractie Klaassen,Gemeente Veldhoven,Fractievoorzitter
73983,Mw.,M.J.,Eggink-Meuleman,,Gemeentebelangen,Gemeente Lochem,Fractievoorzitter
134212,Dhr.,W.H.A.E.,Deursen,,Progressief Akkoord  Groen Links,Gemeente Deurne,Fractievoorzitter
116634,Dhr.,P.,de Ruiter,,GroenLinks,Gemeente Smallingerland,Fractievoorzitter
123043,Dhr.,J.H.N.,Broeders,,Progressief Drechterland,Gemeente Drechterland,Fractievoorzitter
20845515,Dhr. mr.,A.,Mussche,,ChristenUnie,Gemeente Staphorst,Fractievoorzitter
132261,Dhr.,P.,de Vrij,,PvdA,Gemeente Den Helder,Fractievoorzitter
122731,Mw.,J.J.,Silos-Knaap,,CDA,Gemeente Vlaardingen,Fractievoorzitter
123928,Dhr.,N.,Joostens,,ChristenUnie,Gemeente Slochteren,Fractievoorzitter
114898,Dhr.,R.,Osinga,,VVD,Gemeente Goeree-Overflakkee,Fractievoorzitter
133232,Dhr.,B.T.M.,Porskamp,,VVD,Gemeente Oost Gelre,Fractievoorzitter
21573177,Dhr.,A.J.H.,Buijs,,CAB,Gemeente Drimmelen,Fractievoorzitter
132028,Dhr.,G.J.A.,Broeders,,Gemeentebelangen,Gemeente Drimmelen,Fractievoorzitter
115522,Dhr.,J.J.P.,van Schie,,CDA,Gemeente Drimmelen,Fractievoorzitter
88487,Dhr.,J.G.M.,Vissers,,Groen Drimmelen,Gemeente Drimmelen,Fractievoorzitter
130448,Dhr.,A.,Verhoeve,,Lijst Harry Bakker,Gemeente Drimmelen,Fractievoorzitter
133471,Dhr.,R.,Bruintjes,,Democratisch Alternatief Blaricum DAB,Gemeente Blaricum,Fractievoorzitter
111817,Mw.,G.,Hoekstra-Mozes,,CDA,Gemeente Tytsjerksteradiel,Fractievoorzitter
123725,Dhr.,B.H.A.,Stoelinga,,Amersfoort 2014,Gemeente Amersfoort,Fractievoorzitter
80282,Dhr.,W.,Timmermans,,PvdA,Gemeente Geldermalsen,Fractievoorzitter
73155,Dhr.,A.,Haar,,D66,Gemeente De Wolden,Fractievoorzitter
126336,Dhr.,G.A.,Kieft,,VVD,Gemeente Sliedrecht,Fractievoorzitter
20705993,Dhr.,R.A.J.,Brouwer,,Gemeentebelangen,Gemeente De Wolden,Fractievoorzitter
86260,Mw.,I.M.,Somers - Gardenier,,VV2000/Leefbaar Vlaardingen,Gemeente Vlaardingen,Fractievoorzitter
73310,Dhr.,C.W.,de Zeeuw,,D66,Gemeente Waalre,Fractievoorzitter
126725,Mw.,P.D.,Gasseling,,PvdA,Gemeente Uithoorn,Fractievoorzitter
128473,Dhr.,P.,Astro,,SAM Littenseradiel,Gemeente Littenseradiel,Fractievoorzitter
131119,Mw. drs.,G.,Rozema,,GroenLinks,Gemeente Heerenveen,Fractievoorzitter
128236,Dhr.,H.,Groothuis,,CDA,Gemeente Deventer,Fractievoorzitter
133901,Dhr.,T.,van der Meulen,,GroenLinks,Gemeente Deventer,Fractievoorzitter
132093,Dhr.,A.,Emens,,Deventer Belang,Gemeente Deventer,Fractievoorzitter
128238,Mw.,K.,Schmidt-Versteeg,,Deventer Sociaal,Gemeente Deventer,Fractievoorzitter
135352,Dhr.,A.R.,Gebhardt,,DeventerNu,Gemeente Deventer,Fractievoorzitter
122142,Dhr.,M,Krijger,,VVD,Gemeente Stede Broec,Fractievoorzitter
129243,Dhr.,R.,Lievense,,Leefbaar Schouwen-Duiveland,Gemeente Schouwen-Duiveland,Fractievoorzitter
125656,Dhr.,E.C.,van der Spelt,,D66,Gemeente Steenbergen,Fractievoorzitter
126235,Mw.,W.A.M.,Baartmans,,Gewoon Lokaal,Gemeente Steenbergen,Fractievoorzitter
125658,Dhr.,T.C.J.,Huisman,,Steenbergen Anders,Gemeente Steenbergen,Fractievoorzitter
125654,Dhr.,J.H.F.,Weerdenburg,,CDA,Gemeente Steenbergen,Fractievoorzitter
125659,Dhr.,C.A.A.M.,Gommeren,,VVD,Gemeente Steenbergen,Fractievoorzitter
125861,Dhr.,E.M.L.H.,Maassen,,SP,Gemeente Voorschoten,Fractievoorzitter
76348,Mw.,M.A.M.,Lamers,,GroenLinks,Gemeente Voorschoten,Fractievoorzitter
21083308,Dhr.,S.W.C.,van den Dool,,VVD,Gemeente Voorschoten,Fractievoorzitter
