"Address","Status Code","Status","Naam","gemeente 1","partij-abbr 1","functie 1"
"https://almanak.overheid.nl/20260441/Dhr_A_Roest/",200,"OK","Dhr. A. Roest","Gemeente Stein","Steins Belang","Wethouder"
"https://almanak.overheid.nl/132998/Mw_NTP_Wingelaar/",200,"OK","Mw. N.T.P. Wingelaar","Gemeente Stein","DOS (Democratisch Onafhankelijken Stein)","Wethouder"
"https://almanak.overheid.nl/127108/Dhr_mr_HJS_Janssen/",200,"OK","Dhr. mr. H.J.S. Janssen","Gemeente Stein","CDA","Wethouder"
"https://almanak.overheid.nl/125162/Dhr_drs_J_de_Jonge/",200,"OK","Dhr. drs. J. de Jonge","Gemeente Vlissingen","Lokale Partij Vlissingen","Wethouder"
"https://almanak.overheid.nl/131258/Dhr_M_van_Bostelen/",200,"OK","Dhr. M. van Bostelen","Gemeente Appingedam","CDA","Wethouder"
"https://almanak.overheid.nl/122113/Dhr_NA_Aarts/",200,"OK","Dhr. N.A. Aarts","Gemeente Heerlen","Ouderenpartij Heerlen","Wethouder"
"https://almanak.overheid.nl/82487/Mw_E_de_Swart/",200,"OK","Mw. E. de Swart","Gemeente Heumen","Democraten Gemeente Heumen","Wethouder"
"https://almanak.overheid.nl/117589/Dhr_mr_ing_JMAR_van_der_Broek/",200,"OK","Dhr. mr. ing. J.M.A.R. van der Broek","Gemeente Schinnen","CDA","Wethouder"
"https://almanak.overheid.nl/84256/Dhr_P_van_Zwanenburg/",200,"OK","Dhr. P. van Zwanenburg","Gemeente Hof van Twente","CDA","Wethouder"
"https://almanak.overheid.nl/125143/Dhr_HJ_Scholten/",200,"OK","Dhr. H.J. Scholten","Gemeente Hof van Twente","CDA","Wethouder"
"https://almanak.overheid.nl/125144/Dhr_WJH_Meulenkamp/",200,"OK","Dhr. W.J.H. Meulenkamp","Gemeente Hof van Twente","VVD","Wethouder"
"https://almanak.overheid.nl/82242/Dhr_J_Boerema/",200,"OK","Dhr. J. Boerema","Gemeente Kollumerland c.a.","VVD","Wethouder"
