system_id,title,initials,first_name,given_name,last_name,suffix,party,department,municipality,role
466010,ir.,J.M.,Jessica Marie Catherine,Jessica,van Eijs,,D66,,,
596494,,Z.,Zohair,Zohair,El Yassini,,VVD,,,
1033882,,C.E.,Corinne Elisabeth,Corinne,Ellemeet,,GL,,,
462356,drs.,S.R.,Sietse Rindert,Sietse,Fritsma,,PVV,,,
720941,drs.,F.W.,Frank Wybe,Frank,Futselaar,,SP,,,
708151,,L.W.D.,Leuntje Wilhelmina Digna,Lenny,Geluk-Poortvliet,,CDA,,,
251571,,K.,Karen,Karen,Gerbrands,,PVV,,,
540531,,J.L.,Jacob Lubertus,Jaco,Geurts,,CDA,,,
495404,,M.,Machiel,Machiel,de Graaf,,PVV,,,
681555,,S.J.F.,Stieneke Jannieta Femmelien,Stieneke,van der Graaf,,CU,,,
739112,ir.,H.J.,Hendrik Johannes,Rik,Grashoff,,GL,,,
130813,,D.J.G.,Dion Jean Gilbert,Dion,Graus,,PVV,,,
794864,,T.C.,Tjeerd Cornelis,Tjeerd,de Groot,,D66,,,
137441,,M.,Maarten,Maarten,Groothuizen,,D66,,,
371289,mr.,S.,Sybrand,Sybrand,van Haersma Buma,,CDA,,,
318613,,W.R.,Wybren Ridley,Wybren,van Haga,,VVD,,,
440609,,R.J.,Rudmer Jornt,Rudmer,Heerema,,VVD,,,
1044099,,P.E.,Pieter Enneüs,Pieter,Heerma,,CDA,,,
627972,mr.,L.M.J.S.,Lilian Maria Johanna Sibertha,Lilian,Helder,,PVV,,,
47488,,M.J.F.,Martijn Johanna Franciscus,Martijn,van Helvert,,CDA,,,
978883,,J.A.,Jeanine Antoinette,Jeanine,Hennis-Plasschaert,,VVD,,,
355451,drs.,S.T.M.,Sophie,Sophie,Hermans,,VVD,,,
672772,mr.,T.U.,Theo Upt,Theo,Hiddema,,FvD,,,
1008893,,H.P.M.,Hendrik Pieter Maarten,Maarten,Hijink,,SP,,,
696508,drs.,K.A.E.,Kirsten Auke Elisabeth,Kirsten,van den Hul,,PvdA,,,
534170,,R.A.A.,Rob Arnoldus Adrianus,Rob,Jetten,,D66,,,
141075,,L.W.E.,Léon Willem Evert,Léon,de Jong,,PVV,,,
927015,drs.,S.,Sadet,Sadet,Karabulut,,SP,,,
157828,,B.,Bart,Bart,van Kent,,SP,,,
783593,,J.F.,Jesse Feras,Jesse,Klaver,,GL,,,
644838,,D.A.N.,Daniel Antonius Nikola,Daniel,Koerhuis,,VVD,,,
232889,,C.J.E.,Catharina Johanna Elise,Nine,Kooiman,,SP,,,
117284,,S.M.G.,Sven Michael George,Sven,Koopmans,,VVD,,,
791648,,A.,Alexander,Alexander,Kops,,PVV,,,
870098,,S.C.,Suzanne Caroline,Suzanne,Kröger,,GL,,,
464820,,H.C.M.,Henricus Cornelis Maria,Henk,Krol,,50PLUS,,,
320209,,A.,Anne,Anne,Kuik,,CDA,,,
508593,drs.,A.H.,Attje Harma,Attje,Kuiken,,PvdA,,,
781292,,T.,Tunahan,Tunahan,Kuzu,,DENK,,,
1025164,,J.P.,Peter,Peter,Kwint,,SP,,,
508235,,A.J.M.,Antoinette José Marie,Antoinette,Laan-Geselschap,,VVD,,,
24253,,L.A.,Leendert Arent-Willem,Leendert,de Lange,,VVD,,,
452006,,C.,Cem,Cem,Laҫin,,SP,,,
815920,,T.M.T.,Tom,Tom,van der Lee,,GL,,,
875556,,R.M.,Renske Maria,Renske,Leijten,,SP,,,
498088,,R.E.,Roald Erwin,Roald,van der Linde,,VVD,,,
292827,,W.J.H.,Wilhelmina Jenneke Helena,Helma,Lodders,,VVD,,,
680056,,B.,Barry,Barry,Madlener,,PVV,,,
345501,,V.,Vicky,Vicky,Maeijer,,PVV,,,
808888,,L.M.C.,Lilian,Lilian,Marijnissen,,SP,,,
195699,mr.,G.,Gideon,Gidi,Markuszower,,PVV,,,
72456,Jhr.,M.R.H.M.,Maurits Rolof Hubertus Marie,Maurits,von Martels,,CDA,,,
823673,drs,P.H.,Paul Hendrik,Paul,van Meenen,,D66,,,
998107,drs. MSc,J.,Jan,Jan,Middendorp,,VVD,,,
663794,,H.,Harry,Harry,van der Molen,,CDA,,,
274983,,W.J.,William Johannes,William,Moorlag,,PvdA,,,
177383,drs.,A.,Anne,Anne,Mulder,,VVD,,,
344017,,A.H.,Agnes Henriëtte,Agnes,Mulder,,CDA,,,
552080,,E.,Edgar,Edgar,Mulder,,PVV,,,
